,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
57,2.3207598133012652e-05,1.0,0.08868327736854553,0.9847000241279602,0.7382719759579264,1,1
58,2.0059742382727563e-05,1.0,0.08842127025127411,0.9843999743461609,0.7382719759579264,1,1
59,1.837568561313674e-05,1.0,0.08897542953491211,0.9847000241279602,0.7382719759579264,1,1
63,0.000567450188100338,1.0,0.08244506269693375,0.9832000136375427,0.816671675432006,1,1
64,0.00047278753481805325,1.0,0.08357250690460205,0.983299970626831,0.816671675432006,1,1
65,0.00035274718538857996,1.0,0.08397626131772995,0.9832000136375427,0.816671675432006,1,1
66,0.00030978574068285525,1.0,0.08423186093568802,0.9835000038146973,0.816671675432006,1,1
67,0.00023686241183895618,1.0,0.08517055213451385,0.9832000136375427,0.816671675432006,1,1
68,0.00021708659187424928,1.0,0.08539200574159622,0.9836000204086304,0.816671675432006,1,1
71,0.0001460827625123784,1.0,0.0874471440911293,0.9833999872207642,0.816671675432006,1,1
72,0.0001361539907520637,1.0,0.08894417434930801,0.983299970626831,0.816671675432006,1,1
73,0.00012192964641144499,1.0,0.0893942341208458,0.983299970626831,0.816671675432006,1,1
74,0.00010684205335564911,1.0,0.08944413810968399,0.9837999939918518,0.816671675432006,1,1
75,0.00010981388913933188,1.0,0.09029372036457062,0.9837999939918518,0.816671675432006,1,1
76,8.319415792357177e-05,1.0,0.09054214507341385,0.9835000038146973,0.816671675432006,1,1
77,7.398093293886632e-05,1.0,0.09172619134187698,0.9835000038146973,0.816671675432006,1,1
79,8.27149924589321e-05,1.0,0.09202732890844345,0.9843000173568726,0.816671675432006,1,1
88,0.0006921613239683211,1.0,0.09425532817840576,0.9817000031471252,0.8728437265214125,1,1
90,0.0005045943544246256,1.0,0.09543506056070328,0.9819999933242798,0.8728437265214125,1,1
93,0.0003708269214257598,1.0,0.09781349450349808,0.9825000166893005,0.8728437265214125,1,1
95,0.00028877679142169654,1.0,0.09953748434782028,0.9829000234603882,0.8728437265214125,1,1
97,0.00023587407486047596,1.0,0.10192137211561203,0.9824000000953674,0.8728437265214125,1,1
98,0.00020777784811798483,1.0,0.10135698318481445,0.9825000166893005,0.8728437265214125,1,1
99,0.00017936779477167875,1.0,0.10338766127824783,0.982699990272522,0.8728437265214125,1,1
116,0.0008226282079704106,1.0,0.10962726920843124,0.9796000123023987,0.910495867768595,1,1
